location_id,state,Population,Urban Population,Rural Population,Single Female-Headed Households with Children,Unemployment Rate,Non-Citizens,Below Poverty Line,White Population,African American Population,Native American/Alaskan Population,Asian or Pacific Islander Population,Other Race Population,Hispanic or Latino Population,Median Household Income,Average Commute Minutes,Number of Criminal Court Judges,"Police Officers per 100,000 Residents",Law Enforcement Agencies Reporting to UCR,Total Number of Law Enforcement Agencies,Number of Full-Time Prosecutors,Number of Full-Time Sworn Law Enforcement Officers,Residential Mobility,Young Males Population,Largest Municipality Population,Number of Part-Time Prosecutors,High School Graduates,Largest Municipality,Self-Represented conviction rate,Private conviction rate,Public Defender conviction rate,Court Appointed conviction rate,Other conviction rate,Unknown conviction rate
PA119,PA,44932,57.1851,42.8149,5.4641,8,2.5461,12.3,84.9172,6.65,0.2292,1.1951,1.6,5.4059,48528,21.3,6,51.1885,0,7,NA,23,16.3,9.38,5792,NA,84.8,Lewisburg,NA,70.4641,84.2795,85.0299,NA,55.7851
PA121,PA,54590,45.2441,54.7559,7.0165,8.5,0.2491,16,96.2777,0.7309,0.0733,0.3902,1.56,0.9635,41977,21.6,6,76.9372,16.67,6,NA,42,13.1,6,10557,NA,88.8,Oil City,NA,81.2558,77.7296,82.3362,NA,66.9643
PA123,PA,41429,44.9576,55.0424,4.0158,7.4,0.4176,12.6,97.4607,0.4369,0.1279,0.3959,0.77,0.8134,43764,19.8,7,67.5855,0,5,3,28,9.6,5.73,9710,0,89.6,Warren,100,63.6538,73.8332,79.9127,NA,39.7129
PA125,PA,208047,69.1752,30.8248,4.9728,7.5,0.7743,10.5,93.302,3.0777,0.0163,0.7147,1.65,1.2372,53693,26.2,17,107.1873,16.67,24,10,223,11.9,6.5,13663,0,90.4,Washington,93.3333,61.3025,78.7596,83.7461,NA,57.8501
PA127,PA,52212,11.906,88.094,4.9187,7.9,1.2181,12.2,91.7011,3.1506,0.1398,0.5171,0.84,3.6543,49313,28.8,5,70.8649,0,5,3,37,12.1,6.19,4480,2,87.7,Honesdale,NA,81.0294,84.6596,87.5,NA,46.7742
PA129,PA,364090,74.6364,25.3636,5.4527,6.9,0.4438,10.2,94.6055,2.2926,0.1035,0.7817,1.27,0.9495,50736,26.4,33,80.2,20.59,34,23,292,9,6.01,18872,0,92.1,Murrysville,93.8462,70.2291,86.8231,88.5129,NA,49.2853
PA131,PA,28177,16.5441,83.4559,5.2948,7.9,0.8198,12.1,96.1458,0.685,0.1136,0.4294,0.97,1.6538,48482,26.2,3,42.5879,0,7,2,12,9.8,6.92,1836,1,89.2,Tunkhannock,75,61.3815,77.0596,84.7826,NA,29.4872
PA133,PA,436339,75.2796,24.7204,6.5922,8.8,1.522,10.1,85.8053,4.951,0.0853,1.3017,1.98,5.8718,58745,26.6,35,125.1321,59.09,22,28,546,12.4,6.44,43718,0,88.1,York,100,71.8697,78.3458,85.6498,NA,70.553
OR001,OR,16055,58.9934,41.0066,6.0534,11.4,0.9218,18,92.3451,0.2803,1.2831,0.5107,2.04,3.5441,41500,15,NA,NA,NA,NA,NA,NA,16.8,5.74,NA,NA,89.4,NA,NA,43.3862,95.4545,63.945,NA,13.1034
OR003,OR,85989,81.2361,18.7639,4.2535,8.5,5.503,22.5,83.1246,1.0071,0.6559,5.524,3.07,6.6148,48604,18.9,NA,NA,NA,NA,NA,NA,21.5,14.01,NA,NA,94.6,NA,66.6667,55.0676,95,70.9055,NA,33.7452
OR005,OR,380532,81.9214,18.0786,5.659,10.4,4.12,9.8,84.1212,0.7009,0.4386,3.7737,3.08,7.8869,64352,26.9,NA,NA,NA,NA,NA,NA,14.8,6.43,NA,NA,92.4,NA,41.1654,61.1452,95.5645,84.2983,NA,32.7602
OR007,OR,37157,61.0276,38.9724,6.0702,9.6,3.7247,16.5,86.9634,0.6244,0.3445,1.1088,3.18,7.7751,44683,18.2,NA,NA,NA,NA,NA,NA,18.8,6.53,NA,NA,91.5,NA,NA,50,98.3607,77.0081,NA,46.8373
OR009,OR,49333,56.3879,43.6121,6.4922,13.2,2.025,13.6,89.9439,0.227,1.3277,0.977,3.23,4.2953,54968,31.9,NA,NA,NA,NA,NA,NA,13.7,6.21,NA,NA,89.6,NA,NA,39.2704,92,73.0013,NA,40.3794
OR011,OR,62753,61.6468,38.3532,4.6602,13.1,1.5681,17.8,86.5393,0.3235,2.3696,1.1314,4.02,5.6189,37940,19.4,NA,NA,NA,NA,NA,NA,19.2,5.61,NA,NA,88,NA,0,51.4357,55.8824,67.4735,NA,29.2181
OR013,OR,20894,51.983,48.017,4.4144,17.2,1.3736,19.5,89.0734,0.1436,0.9716,0.4116,2.16,7.2365,38795,20,NA,NA,NA,NA,NA,NA,19.3,5.55,NA,NA,84.9,NA,0,56.7961,83.7333,73.8819,NA,59.4595
OR015,OR,22361,61.2681,38.7319,2.6268,15.1,1.5339,15,88.1311,0.1252,1.7173,0.3891,3.79,5.845,39516,13,NA,NA,NA,NA,NA,NA,15.5,4.78,NA,NA,91.3,NA,NA,46.5798,96.0784,69.1304,NA,51.6484
OR017,OR,160565,72.3565,27.6435,5.2023,12.2,2.6911,14.5,88.1985,0.3245,0.7654,1.1242,2.06,7.5247,50209,18.6,NA,NA,NA,NA,NA,NA,17.7,5.74,NA,NA,93.1,NA,33.3333,60.1889,94.4444,75.7002,NA,55.791
OR019,OR,107286,58.8221,41.1779,5.8751,14.1,1.4802,18.7,89.2418,0.2619,1.4233,0.8128,3.43,4.8319,40524,20.3,NA,NA,NA,NA,NA,NA,17.2,5.96,NA,NA,87.7,NA,0,56.5517,70,71.7383,NA,42.0997
OR021,OR,1915,0,100,4.3035,11.7,2.5065,11.8,88.8773,0.5222,0.8355,0,1.57,8.1984,44743,13.1,NA,NA,NA,NA,NA,NA,16.6,5.74,NA,NA,91,NA,NA,50,100,60.1064,NA,0
OR023,OR,7359,0,100,5.2124,10.8,0.4348,17.3,92.7979,0.3261,0.5164,0.1631,3.08,3.1118,35051,18.4,NA,NA,NA,NA,NA,NA,14.2,5.11,NA,NA,89.5,NA,44.4444,59.0278,76.4706,73.906,NA,45.2381
OR025,OR,7314,55.6589,44.3411,6.1034,10.4,0.711,18.6,88.9937,0.4649,3.172,0.8203,2.26,4.2931,38113,13.8,NA,NA,NA,NA,NA,NA,15.4,7.22,NA,NA,87.9,NA,NA,44.6154,33.3333,70.9677,NA,34.6939
OR027,OR,22427,47.8251,52.1749,5.1694,5.3,14.4781,11.6,65.6084,0.486,0.1739,1.3243,2.59,29.8167,56725,17,NA,NA,NA,NA,NA,NA,9.2,6.33,NA,NA,84.1,NA,NA,50.1493,70.4026,71.4634,NA,39.5349
OR029,OR,205117,79.9474,20.0526,6.9618,13.1,3.4912,17.2,83.1774,0.624,0.6547,0.9526,3.5,11.0907,44005,19.4,NA,NA,NA,NA,NA,NA,19.1,6.15,NA,NA,89.1,NA,50,57.8804,86.4078,73.0811,NA,52.2036
OR031,OR,21461,36.8785,63.1215,7.5362,16.1,5.0277,19.8,61.0363,0.6337,15.5724,0.7129,2.37,19.6776,43373,21.3,NA,NA,NA,NA,NA,NA,18.1,6.26,NA,NA,84.7,NA,NA,68.4729,100,81.0559,NA,65.5612
OR033,OR,82783,55.0361,44.9639,5.0567,15.2,1.3094,20.2,88.3176,0.3382,1.5994,0.6439,2.58,6.5255,37733,19.4,NA,NA,NA,NA,NA,NA,14,6,NA,NA,88.4,NA,NA,64.3939,96.3768,80.4706,NA,45.6522
OR035,OR,66211,62.4194,37.5806,6.8814,13.8,3.3121,18.9,80.467,0.6842,3.5191,0.956,3.48,10.8985,39627,17.9,NA,NA,NA,NA,NA,NA,17.9,6.73,NA,NA,87.7,NA,50,56.3233,100,70.2232,NA,39.814
OR037,OR,7862,36.6688,63.3312,2.5238,13.3,2.8873,20.1,86.5174,0.4833,1.3864,0.5215,3.79,7.3009,33611,12.4,NA,NA,NA,NA,NA,NA,22.2,5.55,NA,NA,83.7,NA,NA,50.8621,NA,72.8471,NA,25.5682
OR039,OR,353382,82.477,17.523,5.9498,12.3,3.6736,20,84.1509,0.8753,0.9214,2.4212,4,7.6289,42931,19.6,NA,NA,NA,NA,NA,NA,22.1,8.43,NA,NA,91.1,NA,30,67.0425,79.8054,77.3031,NA,26.8775
OR041,OR,46070,62.4104,37.5896,4.8821,10.3,3.6314,16,83.8463,0.3147,2.2639,1.3393,4.13,8.1094,42365,19.2,NA,NA,NA,NA,NA,NA,16.1,5.18,NA,NA,89.9,NA,0,45.7457,89.2086,66.2254,NA,74.3842
OR043,OR,117648,68.3617,31.6383,7.522,10.8,2.8857,17.8,86.7571,0.453,1.6311,0.9647,2.23,7.9653,46939,22.4,NA,NA,NA,NA,NA,NA,15.9,6.17,NA,NA,89.1,NA,50,68.4641,100,83.6808,NA,42.399
OR045,OR,30898,51.5824,48.4176,6.9455,14.6,8.2821,27.4,62.9814,0.8609,0.3722,1.67,2.06,32.0539,35578,17.3,NA,NA,NA,NA,NA,NA,15.2,7.77,NA,NA,80.4,NA,50,57.0652,91.3043,77.5504,NA,44.697
OR047,OR,318441,86.9063,13.0937,8.6243,13.3,10.2145,18.6,67.8399,0.9088,0.8096,1.7997,4.01,24.6344,46885,21.8,NA,NA,NA,NA,NA,NA,17.8,7.31,NA,NA,83.2,NA,66.6667,67.3279,86.1111,86.7927,NA,38.535
OR049,OR,11218,54.1305,45.8695,7.2173,10.1,13.0594,18,63.6745,0.1694,0.4903,0.6329,2.75,32.2874,49940,19.4,NA,NA,NA,NA,NA,NA,16.9,7.47,NA,NA,75.5,NA,100,64,0,74.9491,NA,8.6957
OR051,OR,747641,98.6578,1.3422,6.2503,10.6,8.3476,17.8,71.9694,5.4586,0.6649,6.6807,4.32,10.9056,52511,24.8,NA,NA,NA,NA,NA,NA,20,6.11,NA,NA,89.7,NA,22.6804,46.0629,86.5087,65.9223,NA,6.3699
OR053,OR,75930,80.0737,19.9263,5.7297,11.3,4.0169,16.5,80.2002,0.4162,1.0589,2.2508,3.68,12.3956,52808,24.5,NA,NA,NA,NA,NA,NA,17.7,7.61,NA,NA,89.8,NA,NA,45.0299,94.1176,67.218,NA,34.6405
OR055,OR,1865,0,100,4.2322,7.7,1.9303,22.1,90.2413,0.1072,1.6622,0.1072,3.38,4.504,42639,20.5,NA,NA,NA,NA,NA,NA,13.9,6.01,NA,NA,92.4,NA,NA,48.5714,100,71.1382,NA,48.5714
OR057,OR,25300,30.396,69.604,4.9043,9,4.5217,16.1,86.2134,0.4506,0.7549,0.8498,2.45,9.2846,43676,19.1,NA,NA,NA,NA,NA,NA,13.3,5.66,NA,NA,88.1,NA,NA,58.9649,83.3333,70.9817,NA,31.5175
OR059,OR,76306,70.9339,29.0661,9.3928,10.9,7.4529,16.5,68.9343,0.595,1.9225,0.806,3.43,24.3074,48389,16.9,NA,NA,NA,NA,NA,NA,17.5,7.47,NA,NA,81.9,NA,57.1429,56.7613,87.3016,76.7059,NA,16.8919
