id,stage,group,question,answer,citations
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Promise to appear in court (release on own recognizance),Pennsylvania Administrative Code. Rule 524. Types of Release on Bail. [234 Pa. Code § 524(C)(1)](http://www.pacode.com/secure/data/234/chapter5/s524.html). Archived [here](https://perma.cc/EC33-QKY2).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Reporting,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527(A)(1)](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Supervision by a designated person or organization,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Phone check-ins,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,In-person check-ins,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Restrictions on travel,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527(A)(2)](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Curfew adherence,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Restrictions on contact with victims or witnesses,Pennsylvania Administrative Code. Rule 526. Conditions of Bail Bond. [234 Pa. Code § 526(A)(4)](http://www.pacode.com/secure/data/234/chapter5/s526.html). Archived [here](https://perma.cc/W96K-V4YN).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Restrictions on contact with certain associates,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Restrictions on possession and use of alcohol and/or controlled substances,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Submitting to drug or alcohol testing,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Participation in a drug or alcohol treatment program,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Participation in an educational or vocational program,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Refraining from any criminal activity,Pennsylvania Administrative Code. Rule 526. Conditions of Bail Bond. [234 Pa. Code § 526(A)(5)](http://www.pacode.com/secure/data/234/chapter5/s526.html). Archived [here](https://perma.cc/W96K-V4YN).
PRE.nf,PRETRIAL_RELEASE,Pretrial Release Conditions,Non-financial conditions of pretrial release authorized by state law:,Any conditions necessary to ensure the defendant's appearance in court and their compliance with the conditions of the bail bond,Pennsylvania Administrative Code. Rule 527. Nonmonetary Conditions of Release on Bail. [234 Pa. Code § 527(A)(3)](http://www.pacode.com/secure/data/234/chapter5/s527.html). Archived [here](https://perma.cc/ULV4-CRLX).
PTD.a,PRETRIAL_RELEASE,Pretrial Detention,Are law enforcement officials permitted to make a pretrial release decision when a bail hearing cannot be promptly held?,No,"Pennsylvania Administrative Code. Rule 519. Procedure in Court Cases Initiated by Arrest Without Warrant. [234 Pa. Code § 519(B)(2)](http://www.pacode.com/secure/data/234/chapter5/s519.html). Archived [here](https://perma.cc/D2R8-L3R5).
Pennsylvania Administrative Code. Rule 510. Contents of Summons; Notice of Preliminary Hearing. [234 Pa. Code § 510](http://www.pacode.com/secure/data/234/chapter5/s510.html). Archived [here](https://perma.cc/54CW-SNS5)."
PTD.h2,PRETRIAL_RELEASE,Pretrial Detention,Offenses that require a hearing to deny pretrial release:,All offenses require a hearing to deny pretrial release,Pennsylvania Administrative Code. Rule 510. Contents of Summons; Notice of Preliminary Hearing. [234 Pa. Code § 510(B)(2)](http://www.pacode.com/secure/data/234/chapter5/s510.html). Archived [here](https://perma.cc/54CW-SNS5).
PTD.h3,PRETRIAL_RELEASE,Pretrial Detention,"If a hearing is not required, who is authorized to make pretrial release decisions?",NA,
BBA.a,PRETRIAL_RELEASE,Bail Bond Agencies,Are commercial bail bond agencies allowed?,"Yes, and individuals working for an agency require a license",Pennsylvania Consolidated Statutes. 5742. Licensure required. [42 Pa. Cons. Stat. § 5742 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-57/section-5742/). Archived [here](https://perma.cc/USA4-GG9N).
PTV.a,PRETRIAL_RELEASE,Pretrial Diversion,Individuals responsible for pretrial diversion admission decisions (may be program-specific):,Judges,"Pennsylvania Consolidated Statutes. 1520. Adjudication alternative program. [42 Pa. Cons Stat. § 1520(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/6JSC-8ZBG).
Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117(1)](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2)."
PTV.a,PRETRIAL_RELEASE,Pretrial Diversion,Individuals responsible for pretrial diversion admission decisions (may be program-specific):,Magistrates,Pennsylvania Consolidated Statutes. 1520. Adjudication alternative program. [42 Pa. Cons Stat. § 1520(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/6JSC-8ZBG).
PTV.a,PRETRIAL_RELEASE,Pretrial Diversion,Individuals responsible for pretrial diversion admission decisions (may be program-specific):,Counties are authorized to refer and admit candidates to diversion programs,"Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons. Stat. § 916 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/NP95-ZZRF).
Pennsylvania Consolidated Statutes. 1552. Accelerated Rehabilitative Disposition. [75 Pa. Cons. Stat. § 1552 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1552/). Archived [here](https://perma.cc/EHG4-LNB2)."
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,Probation without verdict,Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,"Community service, control, or supervision programs",Pennsylvania Consolidated Statutes. 1520. Public service programs and other adjudication alternatives. [42 Pa. Cons Stat. § 1520(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/8BQQ-MXPW).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,Vocational programs,Pennsylvania Consolidated Statutes. 1520. Public service programs and other adjudication alternatives. [42 Pa. Cons Stat. § 1520(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/8BQQ-MXPW).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,All problem solving courts,Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons Stat. § 916(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/9UXR-UMCX).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,Education programs,Pennsylvania Consolidated Statutes. 1520. Public service programs and other adjudication alternatives. [42 Pa. Cons Stat. § 1520(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/8BQQ-MXPW).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,Accelerated rehabilitative disposition,Pennsylvania Consolidated Statutes. 1552. Accelerated Rehabilitative Disposition. [75 Pa. Cons Stat. § 1552 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1552/). Archived [here](https://perma.cc/Z8QM-46Z4).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,Drug court,Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons Stat. § 916(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/9UXR-UMCX).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,Mental health court,Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons Stat. § 916(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/9UXR-UMCX).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,DUI court,Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2).
PTV.b,PRETRIAL_RELEASE,Pretrial Diversion,Types of pretrial diversion authorized by state law:,"Counties are authorized to implement any pretrial diversion program, subject to statutory restrictions",Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons Stat. § 916(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/9UXR-UMCX).
PTV.d,PRETRIAL_RELEASE,Pretrial Diversion,Types of defendants eligible for pretrial diversion (program eligibility may be satisfied by different combinations of criteria):,Defendants with no prior convictions,Pennsylvania Consolidated Statutes. 1520. Adjudication alternative program. [42 Pa. Cons. Stat. § 1520 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/ET9W-7TXT).
PTV.d,PRETRIAL_RELEASE,Pretrial Diversion,Types of defendants eligible for pretrial diversion (program eligibility may be satisfied by different combinations of criteria):,Defendants who have not previously entered into a diversion agreement,Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117(1)](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2).
PTV.d,PRETRIAL_RELEASE,Pretrial Diversion,Types of defendants eligible for pretrial diversion (program eligibility may be satisfied by different combinations of criteria):,Defendants who voluntarily agree to participation,Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117(1)](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2).
PTV.d,PRETRIAL_RELEASE,Pretrial Diversion,Types of defendants eligible for pretrial diversion (program eligibility may be satisfied by different combinations of criteria):,"Defendants not charged with multiple, separate, and unrelated offenses",Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117(1)](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2).
PTV.d,PRETRIAL_RELEASE,Pretrial Diversion,Types of defendants eligible for pretrial diversion (program eligibility may be satisfied by different combinations of criteria):,"Counties are authorized to determine the eligibility of defendants, subject to statutory restrictions","Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons. Stat. § 916 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/YN5M-YZ5X).
Pennsylvania Consolidated Statutes. 1552. Accelerated Rehabilitative Disposition. [75 Pa. Cons. Stat. § 1552 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1552/). Archived [here](https://perma.cc/A9WG-KYZE)."
PTV.e,PRETRIAL_RELEASE,Pretrial Diversion,Offenses eligible for pretrial diversion:,Summary offenses or infractions,Pennsylvania Consolidated Statutes. 1520. Adjudication alternative program. [42 Pa. Cons. Stat. § 1520(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-15/section-1520/). Archived [here](https://perma.cc/FBW3-46DJ).
PTV.e,PRETRIAL_RELEASE,Pretrial Diversion,Offenses eligible for pretrial diversion:,Any nonviolent offense,Pennsylvania Consolidated Statutes. 780-117. Probation Without Verdict. [35 Pa. Cons. Stat. § 780-117](http://www.legis.state.pa.us/cfdocs/legis/LI/uconsCheck.cfm?txtType=HTM&yr=1972&sessInd=0&smthLwInd=0&act=64&chpt=0&sctn=17&subsctn=0). Archived [here](https://perma.cc/HL5F-8QY2).
PTV.e,PRETRIAL_RELEASE,Pretrial Diversion,Offenses eligible for pretrial diversion:,Certain offenses related to DUIs,Pennsylvania Consolidated Statutes. 1552. Accelerated Rehabilitative Disposition. [75 Pa. Cons. Stat. § 1552 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1552/). Archived [here](https://perma.cc/94QH-R5XY).
PTV.e,PRETRIAL_RELEASE,Pretrial Diversion,Offenses eligible for pretrial diversion:,"Counties are authorized to determine which offenses are eligible for pretrial diversion, subject to statutory restrictions","Pennsylvania Consolidated Statutes. 916. Problem-solving courts. [42 Pa. Cons. Stat. § 916(a),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-9/section-916/). Archived [here](https://perma.cc/VH2W-CHRY)."
PTS.a,PRETRIAL_RELEASE,Pretrial Services,Does state law require that jurisdictions have a pretrial services office?,Information not located in statutes,
IDS.b,INDIGENT_DEFENSE,Indigent Defense Systems,Individual or office responsible for determining indigency:,The public defender's office,"Act 358 of Dec 2, 1968. ""Public Defender Act"". Section 6(b). Duties. [Public Defender Act, §6(b)](http://www.legis.state.pa.us/WU01/LI/LI/US/PDF/1968/0/0358..PDF). Archived [here](https://perma.cc/M9XX-WJQQ)."
IDS.e,INDIGENT_DEFENSE,Indigent Defense Systems,Can costs be imposed on the defendant for public defender work?,Information not located in statutes,
OSC.t,SENTENCING_AND_CORRECTIONS,Offense Severity Classification,Monetary threshold that defines felony theft:,"Theft of money or property exceeding $2,000",Pennsylvania Consolidated Statutes. 3903. Grading of theft offenses. [18 Pa. Cons. Stat. § 3903(a.1) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-39/section-3903/). Archived [here](https://perma.cc/7FV9-T3EH).
STS.a,SENTENCING_AND_CORRECTIONS,Sentencing Systems,Is there a sentencing commission in the state?,Yes,Pennsylvania Consolidated Statutes. 2151.2. Commission. [42 Pa. Cons. Stat. § 2151.2 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-21/section-2151.2/). Archived [here](https://perma.cc/QL92-C8UR).
STS.b,SENTENCING_AND_CORRECTIONS,Sentencing Systems,Type of sentencing system:,Structured and indeterminate,National Conference of State Legislatures. Making Sense of Sentencing: State Systems and Policies. [Making Sense of Sentencing: State Systems and Policies](http://www.ncsl.org/documents/cj/sentencing.pdf). Archived [here](https://perma.cc/62FL-XY6P).
STS.c,SENTENCING_AND_CORRECTIONS,Sentencing Systems,"According to an assessment conducted by the National Center of State Courts, to what extent are the state's sentencing guidelines mandatory?","Pennsylvania scores a 9 out of 12, where larger scores indicate more mandatory guidelines.",National Center for State Courts. State Sentencing Guidelines. [NCSC State Sentencing Guidelines](http://www.ncsc.org/~/media/Microsites/Files/CSI/State_Sentencing_Guidelines.ashx). Archived [here](https://perma.cc/B7X6-YJ5A).
STS.d,SENTENCING_AND_CORRECTIONS,Sentencing Systems,"Taking into consideration the level of compulsion mandated by the state's sentencing guidelines, are judges compelled to provide written rationale for any sentences departing from the guidelines?",Yes; a judge must state both on the record and on the Guideline Sentence Form the reasons for imposing an aggravated or mitigated sentence,National Center for State Courts. State Sentencing Guidelines. [NCSC State Sentencing Guidelines](http://www.ncsc.org/~/media/Microsites/Files/CSI/State_Sentencing_Guidelines.ashx). Archived [here](https://perma.cc/U98F-748U).
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,First degree murder,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 9711. Sentencing procedure for murder of the first degree. [42 Pa. Cons. Stat. § 9711(a)(1) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9711/). Archived [here](https://perma.cc/DQZ5-XEND)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Second degree murder,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Administrative Code. 15.66. Offenses and penalties. [101 Pa. Code § 15.66(b)](http://www.pacode.com/secure/data/101/chapter15/s15.66.html). Archived [here](https://perma.cc/W8BW-LYAA)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Multiple convictions for violent offenses,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 9714. Sentences for second and subsequent offenses. [42 Pa. Cons. Stat. § 9714(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9714/). Archived [here](https://perma.cc/HF8H-HTWZ)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Certain offenses for which the offender possessed a firearm,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 9712. Sentences for offenses committed with firearms. [42 Pa. Cons. Stat. § 9712(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9712/). Archived [here](https://perma.cc/3QW8-LXYR)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Multiple convictions of sex offenses,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 9718.2. Sentences for sexual offenders. [42 Pa. Cons. Stat. § 9718.2(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9718.2/). Archived [here](https://perma.cc/6DGE-FBAR)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Assault or sexual battery of a child,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 9718. Sentences for offenses against infant persons. [42 Pa. Cons. Stat. § 9718(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9718/). Archived [here](https://perma.cc/9HGJ-YY6K)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Drug trafficking,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 7508. Drug trafficking sentencing and penalties. [18 Pa. Cons. Stat. § 7508(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-75/section-7508/). Archived [here](https://perma.cc/B3AM-7EW9)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,DUI related offenses,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 3804. Penalties. [75 Pa. Cons. Stat. § 3804(b), (c) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-38/section-3804/). Archived [here](https://perma.cc/T42T-8UNS)."
STS.e,SENTENCING_AND_CORRECTIONS,Sentencing Systems,For what offenses does a conviction result in a mandatory minimum sentence?,Elderly abuse,"Pennsylvania Administrative Code. 303.9. Guideline sentence recommendation: general. [204 Pa. Code § 303.9(h)](http://www.pacode.com/secure/data/204/chapter303/s303.9.html). Archived [here](https://perma.cc/4DER-SC4D).
Pennsylvania Consolidated Statutes. 9717. Sentences for offenses against elderly persons. [42 Pa. Cons. Stat. § 9717(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9717/). Archived [here](https://perma.cc/3GEN-SH9W)."
